order_id,date,product_name,quantity
811-64-5910,2022-03-31,Rice - Basmati,22
180-11-0541,2022-03-30,"Apple - Delicious, Golden",67
146-85-9195,2022-04-09,"Wine - White, Schroder And Schyl",69
544-02-3061,2022-03-29,Eggplant Italian,97
512-10-7471,2022-06-12,Potatoes - Mini White 3 Oz,1
538-63-6447,2022-04-25,"Wine - Harrow Estates, Vidal",99
336-29-0976,2022-06-15,"Thyme - Lemon, Fresh",78
293-14-5062,2022-05-12,Beef Ground Medium,63
758-09-1655,2022-06-01,Wine - Rosso Del Veronese Igt,82
723-10-3736,2022-03-18,Pasta - Agnolotti - Butternut,46
229-95-0317,2022-06-13,Wine - Zinfandel Rosenblum,15
481-25-7163,2022-06-02,Tomato - Tricolor Cherry,46
246-23-3390,2022-03-22,Chicken Breast Halal,87
644-36-2279,2022-06-28,Kellogs All Bran Bars,54
599-05-7757,2022-05-18,Muffin Hinge - 211n,6
247-68-9333,2022-05-20,"Carrots - Purple, Organic",51
431-73-0174,2022-06-07,"Bar Mix - Pina Colada, 355 Ml",41
476-33-6521,2022-04-01,Fennel,41
339-76-1106,2022-03-22,Sorrel - Fresh,67
479-63-9949,2022-05-23,"Chestnuts - Whole,canned",72
280-90-9233,2022-03-04,"Pasta - Elbows, Macaroni, Dry",1
407-52-8033,2022-06-16,Wine - Fume Blanc Fetzer,67
147-75-5497,2022-05-18,Butter - Pod,17
153-82-5012,2022-06-05,Wine - Coteaux Du Tricastin Ac,72
534-86-4362,2022-03-24,Carbonated Water - Blackcherry,42
522-59-9921,2022-04-04,"Pork - Back, Short Cut, Boneless",88
817-32-1351,2022-04-23,"Crab - Blue, Frozen",20
610-04-7995,2022-04-17,Buffalo - Striploin,80
608-70-6652,2022-05-22,Shiro Miso,73
779-50-9916,2022-05-03,Pan Grease,47
687-08-4888,2022-03-14,Wine - Vidal Icewine Magnotta,41
343-87-0073,2022-06-03,Vinegar - Champagne,79
797-96-9075,2022-03-17,Wine - Pinot Grigio Collavini,26
847-59-7597,2022-06-26,General Purpose Trigger,20
689-79-8179,2022-05-03,"Loaf Pan - 2 Lb, Foil",52
398-97-3805,2022-06-04,Lettuce - California Mix,16
807-85-0256,2022-03-19,"Turkey - Breast, Boneless Sk On",42
